iso_code,continent,location,last_updated_date,total_cases,new_cases
AFG,Asia,Afghanistan,2022-03-20,177093,54
OWID_AFR,,Africa,2022-03-20,11460017,1383
ALB,Europe,Albania,2022-03-20,273088,48
DZA,Africa,Algeria,2022-03-20,265550,11
AND,Europe,Andorra,2022-03-20,39234,440
AGO,Africa,Angola,2022-03-20,99003,0
AIA,North America,Anguilla,2022-03-20,2595,0
ATG,North America,Antigua and Barbuda,2022-03-20,7473,0
ARG,South America,Argentina,2022-03-20,9007753,1227
ARM,Asia,Armenia,2022-03-20,422307,21
ABW,North America,Aruba,2022-03-20,33843,0
OWID_ASI,,Asia,2022-03-20,132993357,523980
AUS,Oceania,Australia,2022-03-20,3943368,43230
AUT,Europe,Austria,2022-03-20,3466203,37192
AZE,Asia,Azerbaijan,2022-03-20,791482,78
BHS,North America,Bahamas,2022-03-20,33221,10
BHR,Asia,Bahrain,2022-03-20,544851,1016
BGD,Asia,Bangladesh,2022-03-20,1950609,82
BRB,North America,Barbados,2022-03-20,57733,73
BLR,Europe,Belarus,2022-03-20,951081,1087
BEL,Europe,Belgium,2022-03-20,3707561,11502
BLZ,North America,Belize,2022-03-20,57143,0
BEN,Africa,Benin,2022-03-20,26952,377
BMU,North America,Bermuda,2022-03-20,12094,105
BTN,Asia,Bhutan,2022-03-20,22004,344
BOL,South America,Bolivia,2022-03-20,899697,173
BES,North America,Bonaire Sint Eustatius and Saba,2022-03-20,7739,0
BIH,Europe,Bosnia and Herzegovina,2022-03-20,373985,186
BWA,Africa,Botswana,2022-03-20,263950,0
BRA,South America,Brazil,2022-03-20,29637814,13379
VGB,North America,British Virgin Islands,2022-03-20,6104,0
BRN,Asia,Brunei,2022-03-20,124716,1294
BGR,Europe,Bulgaria,2022-03-20,1124186,472
BFA,Africa,Burkina Faso,2022-03-20,20813,0
BDI,Africa,Burundi,2022-03-20,38308,0
KHM,Asia,Cambodia,2022-03-20,134986,97
CMR,Africa,Cameroon,2022-03-20,119544,130
CAN,North America,Canada,2022-03-20,3404964,2253
CPV,Africa,Cape Verde,2022-03-20,55925,0
CYM,North America,Cayman Islands,2022-03-20,20336,263
CAF,Africa,Central African Republic,2022-03-20,14649,329
TCD,Africa,Chad,2022-03-20,7269,0
CHL,South America,Chile,2022-03-20,3392978,11297
CHN,Asia,China,2022-03-20,130684,485
COL,South America,Colombia,2022-03-20,6081131,542
COM,Africa,Comoros,2022-03-20,8076,0
COG,Africa,Congo,2022-03-20,24059,0
COK,Oceania,Cook Islands,2022-03-20,743,0
CRI,North America,Costa Rica,2022-03-20,829400,958
CIV,Africa,Cote d'Ivoire,2022-03-20,81655,0
HRV,Europe,Croatia,2022-03-20,1084012,901
CUB,North America,Cuba,2022-03-20,1081472,786
CUW,North America,Curacao,2022-03-20,39853,293
CYP,Europe,Cyprus,2022-03-20,377356,3698
CZE,Europe,Czechia,2022-03-20,3737891,4792
COD,Africa,Democratic Republic of Congo,2022-03-20,86461,0
DNK,Europe,Denmark,2022-03-20,3004907,4984
DJI,Africa,Djibouti,2022-03-20,15573,0
DMA,North America,Dominica,2022-03-20,11724,0
DOM,North America,Dominican Republic,2022-03-20,577317,0
ECU,South America,Ecuador,2022-03-20,853850,4151
EGY,Africa,Egypt,2022-03-20,495373,0
SLV,North America,El Salvador,2022-03-20,161052,110
GNQ,Africa,Equatorial Guinea,2022-03-20,15899,0
ERI,Africa,Eritrea,2022-03-20,9723,0
EST,Europe,Estonia,2022-03-20,542386,835
SWZ,Africa,Eswatini,2022-03-20,69552,4
ETH,Africa,Ethiopia,2022-03-20,469455,14
OWID_EUR,,Europe,2022-03-20,171892361,392063
OWID_EUN,,European Union,2022-03-20,119567488,357156
